Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
28/09/2008,0:00,1358,619,739,,,,668,352,316,1067,586,481,,,,,,,,,,,,,,,
29/09/2008,0:00,3636,1516,2120,,,,1894,1075,819,3091,1653,1438,,,,,,,,,,,,,,,
30/09/2008,0:00,4117,1694,2423,,,,2175,1224,951,3689,1964,1725,,,,,,,,,,,,,,,
01/10/2008,0:00,2746,1186,1560,,,,1660,901,759,2876,1550,1326,,,,,,,,,,,,,,,
02/10/2008,0:00,2938,1181,1757,,,,1796,1001,795,3671,2000,1671,,,,,,,,,,,,,,,
03/10/2008,0:00,2503,959,1544,,,,1427,771,656,2087,1112,975,,,,,,,,,,,,,,,
04/10/2008,0:00,1105,416,689,,,,683,361,322,917,496,421,,,,,,,,,,,,,,,
05/10/2008,0:00,1281,495,786,,,,757,395,362,991,542,449,,,,,,,,,,,,,,,
06/10/2008,0:00,2775,1050,1725,,,,1607,901,706,2088,1136,952,,,,,,,,,,,,,,,
07/10/2008,0:00,3157,1171,1986,,,,1924,1066,858,3199,1719,1480,,,,,,,,,,,,,,,
08/10/2008,0:00,3076,1145,1931,,,,1860,1011,849,2324,1237,1087,,,,,,,,,,,,,,,
09/10/2008,0:00,2389,1007,1382,,,,1463,815,648,1996,1086,910,,,,,,,,,,,,,,,
10/10/2008,0:00,3124,1288,1836,,,,1784,969,815,4208,2268,1940,,,,,,,,,,,,,,,
11/10/2008,0:00,1865,796,1069,,,,1154,608,546,2189,1188,1001,,,,,,,,,,,,,,,
12/10/2008,0:00,1531,606,925,,,,900,469,431,1652,907,745,,,,,,,,,,,,,,,
13/10/2008,0:00,848,362,486,,,,489,273,216,788,432,356,,,,,,,,,,,,,,,
14/10/2008,0:00,2984,1241,1743,,,,1819,1008,811,2717,1493,1224,,,,,,,,,,,,,,,
15/10/2008,0:00,3140,1244,1896,,,,1900,1034,866,2181,1193,988,,,,,,,,,,,,,,,
