Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
30/04/2010,0:00,4143,1984,2159,,,,2606,1443,1163,4798,2536,2262,,,,,,,,,,,,,,,
01/05/2010,0:00,2433,1114,1319,,,,1378,733,645,2391,1285,1106,,,,,,,,,,,,,,,
02/05/2010,0:00,2677,1308,1369,,,,1423,758,665,2647,1425,1222,,,,,,,,,,,,,,,
03/05/2010,0:00,2794,1379,1415,,,,1839,971,868,3480,1866,1614,,,,,,,,,,,,,,,
04/05/2010,0:00,3750,1729,2021,,,,2494,1362,1132,4524,2397,2127,,,,,,,,,,,,,,,
05/05/2010,0:00,5333,2560,2773,,,,3242,1767,1475,5595,2911,2684,,,,,,,,,,,,,,,
06/05/2010,0:00,3354,1511,1843,,,,2265,1298,967,4349,2337,2012,,,,,,,,,,,,,,,
07/05/2010,0:00,4276,1957,2319,,,,2783,1577,1206,4920,2564,2356,,,,,,,,,,,,,,,
08/05/2010,0:00,702,342,360,,,,488,233,255,962,522,440,,,,,,,,,,,,,,,
09/05/2010,0:00,545,283,262,,,,277,144,133,637,355,282,,,,,,,,,,,,,,,
10/05/2010,0:00,3110,1473,1637,,,,2149,1158,991,4012,2143,1869,,,,,,,,,,,,,,,
11/05/2010,0:00,4423,2072,2351,,,,2936,1627,1309,5182,2640,2542,,,,,,,,,,,,,,,
12/05/2010,0:00,4596,2155,2441,,,,3163,1726,1437,5553,2942,2611,,,,,,,,,,,,,,,
13/05/2010,0:00,5069,2390,2679,,,,3273,1807,1466,5641,2984,2657,,,,,,,,,,,,,,,
14/05/2010,0:00,2916,1258,1658,,,,2114,1132,982,3746,1970,1776,,,,,,,,,,,,,,,
15/05/2010,0:00,1605,726,879,,,,1063,585,478,1909,1030,879,,,,,,,,,,,,,,,
16/05/2010,0:00,4726,2315,2411,,,,1904,987,917,3519,1901,1618,,,,,,,,,,,,,,,
17/05/2010,0:00,5936,2942,2994,,,,3442,1841,1601,6213,3278,2935,,,,,,,,,,,,,,,
18/05/2010,0:00,6322,3087,3235,,,,3776,2013,1763,6669,3491,3178,,,,,,,,,,,,,,,
19/05/2010,0:00,5770,2813,2957,,,,3525,1892,1633,6289,3272,3017,,,,,,,,,,,,,,,
20/05/2010,0:00,5356,2561,2795,,,,3482,1874,1608,6175,3313,2862,,,,,,,,,,,,,,,
21/05/2010,0:00,5748,2759,2989,,,,3547,1960,1587,5882,3055,2827,,,,,,,,,,,,,,,
22/05/2010,0:00,3169,1476,1693,,,,1859,1009,850,3343,1800,1543,,,,,,,,,,,,,,,
23/05/2010,0:00,4821,2351,2470,,,,2088,1068,1020,3880,2110,1770,,,,,,,,,,,,,,,
24/05/2010,0:00,4364,2140,2224,,,,1997,1065,932,3768,2116,1652,,,,,,,,,,,,,,,
25/05/2010,0:00,6430,3165,3265,,,,3778,1999,1779,6449,3417,3032,,,,,,,,,,,,,,,
26/05/2010,0:00,5673,2710,2963,,,,3570,1980,1590,6368,3357,3011,,,,,,,,,,,,,,,
27/05/2010,0:00,5988,2814,3174,,,,3986,2166,1820,6860,3552,3308,,,,,,,,,,,,,,,
28/05/2010,0:00,6181,2901,3280,,,,3934,2176,1758,6947,3557,3390,,,,,,,,,,,,,,,
29/05/2010,0:00,4599,2300,2299,,,,2430,1217,1213,4542,2477,2065,,,,,,,,,,,,,,,
30/05/2010,0:00,3737,1808,1929,,,,2003,1064,939,4104,2253,1851,,,,,,,,,,,,,,,
31/05/2010,0:00,5596,2747,2849,,,,3345,1801,1544,6474,3429,3045,,,,,,,,,,,,,,,
01/06/2010,0:00,2786,1427,1359,,,,1891,990,901,3255,1702,1553,,,,,,,,,,,,,,,
02/06/2010,0:00,6791,3304,3487,,,,4150,2264,1886,7204,3781,3423,,,,,,,,,,,,,,,
03/06/2010,0:00,3676,1758,1918,,,,2441,1351,1090,4649,2449,2200,,,,,,,,,,,,,,,
04/06/2010,0:00,7083,3567,3516,,,,4513,2336,2177,6939,3631,3308,,,,,,,,,,,,,,,
05/06/2010,0:00,2884,1416,1468,,,,1808,935,873,2816,1562,1254,,,,,,,,,,,,,,,
06/06/2010,0:00,989,525,464,,,,766,461,305,1234,685,549,,,,,,,,,,,,,,,
07/06/2010,0:00,5128,2415,2713,,,,3362,1899,1463,5755,3019,2736,,,,,,,,,,,,,,,
08/06/2010,0:00,6281,2915,3366,,,,3933,2167,1766,6631,3502,3129,,,,,,,,,,,,,,,
09/06/2010,0:00,6377,3102,3275,,,,4068,2262,1806,7120,3696,3424,,,,,,,,,,,,,,,
10/06/2010,0:00,2387,1105,1282,,,,1591,898,693,2976,1649,1327,,,,,,,,,,,,,,,
11/06/2010,0:00,5695,2662,3033,,,,3945,2296,1649,6054,3377,2677,,,,,,,,,,,,,,,
12/06/2010,0:00,4226,1983,2243,,,,2823,1593,1230,4031,2368,1663,,,,,,,,,,,,,,,
13/06/2010,0:00,5052,2527,2525,,,,2799,1445,1354,4531,2505,2026,,,,,,,,,,,,,,,
14/06/2010,0:00,3810,1868,1942,,,,2730,1553,1177,3867,2069,1798,,,,,,,,,,,,,,,
15/06/2010,0:00,7495,3599,3896,,,,5077,2816,2261,7129,3778,3351,,,,,,,,,,,,,,,
16/06/2010,0:00,3447,1455,1992,,,,2363,1437,926,4062,2196,1866,,,,,,,,,,,,,,,
17/06/2010,0:00,5242,2612,2630,,,,3472,1923,1549,5511,2881,2630,,,,,,,,,,,,,,,
18/06/2010,0:00,7288,3527,3761,,,,4909,2681,2228,6556,3429,3127,,,,,,,,,,,,,,,
19/06/2010,0:00,4178,2062,2116,,,,2308,1209,1099,3458,1902,1556,,,,,,,,,,,,,,,
20/06/2010,0:00,3350,1669,1681,,,,1719,865,854,3141,1723,1418,,,,,,,,,,,,,,,
21/06/2010,0:00,6526,3409,3117,,,,3892,2156,1736,6739,3548,3191,,,,,,,,,,,,,,,
22/06/2010,0:00,6821,3359,3462,,,,3876,2094,1782,6574,3477,3097,,,,,,,,,,,,,,,
23/06/2010,0:00,5052,2517,2535,,,,3353,1815,1538,6030,3165,2865,,,,,,,,,,,,,,,
24/06/2010,0:00,2420,1162,1258,,,,1231,658,573,2457,1347,1110,,,,,,,,,,,,,,,
25/06/2010,0:00,5442,2442,3000,,,,3705,2207,1498,5550,2864,2686,,,,,,,,,,,,,,,
26/06/2010,0:00,4040,1859,2181,,,,2857,1567,1290,3714,1972,1742,,,,,,,,,,,,,,,
27/06/2010,0:00,4702,2290,2412,,,,2709,1391,1318,3790,1991,1799,,,,,,,,,,,,,,,
28/06/2010,0:00,2976,1464,1512,,,,2040,1151,889,3916,2093,1823,,,,,,,,,,,,,,,
29/06/2010,0:00,4985,2298,2687,,,,3463,2005,1458,5107,2640,2467,,,,,,,,,,,,,,,
30/06/2010,0:00,4484,2078,2406,,,,3002,1770,1232,5271,2758,2513,,,,,,,,,,,,,,,
01/07/2010,0:00,4089,1784,2305,,,,2402,1429,973,3380,1796,1584,,,,,,,,,,,,,,,
02/07/2010,0:00,6108,2837,3271,,,,3780,2205,1575,5622,2954,2668,,,,,,,,,,,,,,,
03/07/2010,0:00,5245,2544,2701,,,,2996,1488,1508,4387,2361,2026,,,,,,,,,,,,,,,
04/07/2010,0:00,4297,2103,2194,,,,2622,1397,1225,3620,1933,1687,,,,,,,,,,,,,,,
05/07/2010,0:00,6502,3020,3482,,,,4472,2583,1889,6720,3565,3155,,,,,,,,,,,,,,,
06/07/2010,0:00,6313,3028,3285,,,,4083,2260,1823,6698,3625,3073,,,,,,,,,,,,,,,
07/07/2010,0:00,5469,2686,2783,,,,3269,1756,1513,6089,3317,2772,,,,,,,,,,,,,,,
08/07/2010,0:00,5193,2520,2673,,,,3131,1639,1492,6233,3421,2812,,,,,,,,,,,,,,,
09/07/2010,0:00,3294,1607,1687,,,,1983,1109,874,3799,2160,1639,,,,,,,,,,,,,,,
10/07/2010,0:00,3991,1917,2074,,,,2276,1149,1127,3720,2015,1705,,,,,,,,,,,,,,,
11/07/2010,0:00,4090,2031,2059,,,,1855,924,931,3730,2043,1687,,,,,,,,,,,,,,,
12/07/2010,0:00,5261,2551,2710,,,,3300,1763,1537,6208,3299,2909,,,,,,,,,,,,,,,
13/07/2010,0:00,3535,1707,1828,,,,2330,1225,1105,4339,2351,1988,,,,,,,,,,,,,,,
14/07/2010,0:00,6244,2947,3297,,,,3939,2099,1840,6900,3671,3229,,,,,,,,,,,,,,,
15/07/2010,0:00,6010,2711,3299,,,,4040,2146,1894,7148,3781,3367,,,,,,,,,,,,,,,
16/07/2010,0:00,4215,2024,2191,,,,2853,1536,1317,5152,2781,2371,,,,,,,,,,,,,,,
17/07/2010,0:00,2901,1340,1561,,,,1746,932,814,3134,1724,1410,,,,,,,,,,,,,,,
18/07/2010,0:00,4262,2036,2226,,,,2377,1276,1101,3705,1983,1722,,,,,,,,,,,,,,,
19/07/2010,0:00,2352,1205,1147,,,,1618,862,756,3308,1773,1535,,,,,,,,,,,,,,,
20/07/2010,0:00,6703,3198,3505,,,,4105,2287,1818,7105,3732,3373,,,,,,,,,,,,,,,
21/07/2010,0:00,5126,2439,2687,,,,3144,1786,1358,5767,3078,2689,,,,,,,,,,,,,,,
22/07/2010,0:00,6475,3037,3438,,,,3828,2156,1672,6783,3594,3189,,,,,,,,,,,,,,,
23/07/2010,0:00,5218,2445,2773,,,,3182,1775,1407,5556,2949,2607,,,,,,,,,,,,,,,
24/07/2010,0:00,4239,1949,2290,,,,2447,1320,1127,3489,1922,1567,,,,,,,,,,,,,,,
25/07/2010,0:00,4337,2048,2289,,,,2401,1284,1117,3786,2053,1733,,,,,,,,,,,,,,,
26/07/2010,0:00,5975,2941,3034,,,,3555,1914,1641,6316,3349,2967,,,,,,,,,,,,,,,
27/07/2010,0:00,6569,3157,3412,,,,3920,2098,1822,7048,3768,3280,,,,,,,,,,,,,,,
28/07/2010,0:00,5040,2428,2612,,,,3296,1779,1517,5971,3171,2800,,,,,,,,,,,,,,,
29/07/2010,0:00,5974,2800,3174,,,,3863,2085,1778,6598,3488,3110,,,,,,,,,,,,,,,
30/07/2010,0:00,4848,2104,2744,,,,3623,1910,1713,5662,2998,2664,,,,,,,,,,,,,,,
31/07/2010,0:00,60,24,36,,,,766,351,415,3779,2056,1723,,,,,,,,,,,,,,,
01/08/2010,0:00,79,30,49,,,,836,449,387,3768,2093,1675,,,,,,,,,,,,,,,
02/08/2010,0:00,4864,2385,2479,,,,2926,1540,1386,5189,2759,2430,,,,,,,,,,,,,,,
03/08/2010,0:00,2112,961,1151,,,,1309,775,534,2305,1281,1024,,,,,,,,,,,,,,,
04/08/2010,0:00,3523,1725,1798,,,,2108,1180,928,4281,2284,1997,,,,,,,,,,,,,,,
05/08/2010,0:00,4657,2283,2374,,,,2946,1603,1343,5540,2972,2568,,,,,,,,,,,,,,,
06/08/2010,0:00,4713,2239,2474,,,,3059,1651,1408,5500,2916,2584,,,,,,,,,,,,,,,
07/08/2010,0:00,4313,1974,2339,,,,2417,1291,1126,3878,2116,1762,,,,,,,,,,,,,,,
08/08/2010,0:00,2045,965,1080,,,,1134,598,536,1994,1144,850,,,,,,,,,,,,,,,
09/08/2010,0:00,4569,2229,2340,,,,2868,1527,1341,5212,2779,2433,,,,,,,,,,,,,,,
10/08/2010,0:00,5203,2517,2686,,,,3269,1778,1491,5737,3078,2659,,,,,,,,,,,,,,,
11/08/2010,0:00,6429,3143,3286,,,,3790,2008,1782,6692,3550,3142,,,,,,,,,,,,,,,
12/08/2010,0:00,6082,2954,3128,,,,3698,2030,1668,6491,3397,3094,,,,,,,,,,,,,,,
13/08/2010,0:00,5506,2666,2840,,,,2841,1165,1676,6070,3235,2835,,,,,,,,,,,,,,,
14/08/2010,0:00,4507,2190,2317,,,,1141,0,1141,3919,2151,1768,,,,,,,,,,,,,,,
15/08/2010,0:00,2994,1544,1450,,,,1664,882,782,2776,1576,1200,,,,,,,,,,,,,,,
16/08/2010,0:00,2920,1455,1465,,,,1772,1014,758,3805,2050,1755,,,,,,,,,,,,,,,
17/08/2010,0:00,5967,3056,2911,,,,3708,2103,1605,6513,3472,3041,,,,,,,,,,,,,,,
18/08/2010,0:00,5631,2892,2739,,,,3518,1966,1552,6460,3376,3084,,,,,,,,,,,,,,,
19/08/2010,0:00,5488,2714,2774,,,,3457,1953,1504,6267,3268,2999,,,,,,,,,,,,,,,
20/08/2010,0:00,5352,2657,2695,,,,3305,1831,1474,5852,3083,2769,,,,,,,,,,,,,,,
21/08/2010,0:00,1925,968,957,,,,1022,538,484,2293,1249,1044,,,,,,,,,,,,,,,
22/08/2010,0:00,848,447,401,,,,467,250,217,1193,679,514,,,,,,,,,,,,,,,
23/08/2010,0:00,4152,2163,1989,,,,2524,1446,1078,5092,2666,2426,,,,,,,,,,,,,,,
24/08/2010,0:00,6578,3219,3359,,,,4086,2317,1769,6670,3467,3203,,,,,,,,,,,,,,,
25/08/2010,0:00,5251,2542,2709,,,,3289,1834,1455,6041,3146,2895,,,,,,,,,,,,,,,
26/08/2010,0:00,4960,2398,2562,,,,3130,1767,1363,5718,3130,2588,,,,,,,,,,,,,,,
27/08/2010,0:00,5349,2604,2745,,,,3302,1830,1472,6015,3266,2749,,,,,,,,,,,,,,,
28/08/2010,0:00,4254,2098,2156,,,,2260,1190,1070,3965,2215,1750,,,,,,,,,,,,,,,
29/08/2010,0:00,4403,2181,2222,,,,2472,1310,1162,3752,2070,1682,,,,,,,,,,,,,,,
30/08/2010,0:00,5784,2828,2956,,,,3523,2015,1508,6500,3457,3043,,,,,,,,,,,,,,,
31/08/2010,0:00,6030,2978,3052,,,,3743,2123,1620,6728,3546,3182,,,,,,,,,,,,,,,
01/09/2010,0:00,5367,2739,2628,,,,2881,1638,1243,6290,3290,3000,,,,,,,,,,,,,,,
02/09/2010,0:00,5004,2430,2574,,,,2973,1686,1287,6019,3151,2868,,,,,,,,,,,,,,,
03/09/2010,0:00,5118,2469,2649,,,,3029,1730,1299,6228,3261,2967,,,,,,,,,,,,,,,
04/09/2010,0:00,2337,1170,1167,,,,1343,715,628,2741,1514,1227,,,,,,,,,,,,,,,
05/09/2010,0:00,2193,1026,1167,,,,1123,604,519,2665,1428,1237,,,,,,,,,,,,,,,
06/09/2010,0:00,2766,1299,1467,,,,1465,859,606,2367,1308,1059,,,,,,,,,,,,,,,
07/09/2010,0:00,4790,2355,2435,,,,2571,1471,1100,5665,2966,2699,,,,,,,,,,,,,,,
08/09/2010,0:00,4283,2056,2227,,,,2293,1304,989,5518,2908,2610,,,,,,,,,,,,,,,
09/09/2010,0:00,3692,1731,1961,,,,2194,1244,950,5095,2652,2443,,,,,,,,,,,,,,,
10/09/2010,0:00,5397,2639,2758,,,,3195,1826,1369,6501,3384,3117,,,,,,,,,,,,,,,
11/09/2010,0:00,4397,2067,2330,,,,2496,1333,1163,4182,2259,1923,,,,,,,,,,,,,,,
12/09/2010,0:00,2061,1008,1053,,,,1052,567,485,2478,1346,1132,,,,,,,,,,,,,,,
13/09/2010,0:00,3926,1928,1998,,,,2082,1220,862,5092,2629,2463,,,,,,,,,,,,,,,
14/09/2010,0:00,4480,2093,2387,,,,2404,1373,1031,5690,3009,2681,,,,,,,,,,,,,,,
15/09/2010,0:00,4837,2314,2523,,,,2583,1471,1112,6572,3441,3131,,,,,,,,,,,,,,,
16/09/2010,0:00,3073,1288,1785,,,,1814,1021,793,4284,2309,1975,,,,,,,,,,,,,,,
17/09/2010,0:00,4985,2432,2553,,,,2949,1684,1265,5544,2853,2691,,,,,,,,,,,,,,,
18/09/2010,0:00,4812,2234,2578,,,,2740,1464,1276,3476,1886,1590,,,,,,,,,,,,,,,
19/09/2010,0:00,4991,2293,2698,,,,2542,1369,1173,3227,1741,1486,,,,,,,,,,,,,,,
20/09/2010,0:00,4939,2349,2590,,,,2620,1534,1086,6438,3379,3059,,,,,,,,,,,,,,,
21/09/2010,0:00,4518,2101,2417,,,,2416,1379,1037,5643,2896,2747,,,,,,,,,,,,,,,
22/09/2010,0:00,3924,1921,2003,,,,2099,1192,907,5096,2731,2365,,,,,,,,,,,,,,,
23/09/2010,0:00,4438,2034,2404,,,,2631,1492,1139,5993,3111,2882,,,,,,,,,,,,,,,
24/09/2010,0:00,2515,1188,1327,,,,1487,848,639,3793,1987,1806,,,,,,,,,,,,,,,
25/09/2010,0:00,2448,1111,1337,,,,1396,744,652,2889,1595,1294,,,,,,,,,,,,,,,
26/09/2010,0:00,1380,612,768,,,,704,382,322,1802,976,826,,,,,,,,,,,,,,,
27/09/2010,0:00,3726,1659,2067,,,,1977,1154,823,4689,2488,2201,,,,,,,,,,,,,,,
28/09/2010,0:00,2568,1319,1249,,,,1371,782,589,3395,1794,1601,,,,,,,,,,,,,,,
29/09/2010,0:00,3953,1829,2124,,,,2116,1203,913,5459,2841,2618,,,,,,,,,,,,,,,
30/09/2010,0:00,1367,598,769,,,,808,459,349,1964,1060,904,,,,,,,,,,,,,,,
01/10/2010,0:00,2252,1079,1173,,,,1311,732,579,3296,1724,1572,,,,,,,,,,,,,,,
02/10/2010,0:00,2034,907,1127,,,,1304,697,607,2738,1522,1216,,,,,,,,,,,,,,,
03/10/2010,0:00,1748,842,906,,,,1066,575,491,2221,1237,984,,,,,,,1292,575,717,,,,,,
04/10/2010,0:00,3859,1748,2111,,,,2278,1321,957,5323,2757,2566,,,,,,,3185,1623,1562,,,,,,
05/10/2010,0:00,4733,2209,2524,1131,790,341,2936,1656,1280,5959,3090,2869,,,,,,,3721,2071,1650,,,,,,
06/10/2010,0:00,2377,954,1423,1239,687,552,1457,817,640,3359,1808,1551,1074,157,917,,,,1922,1062,860,,,,,,
07/10/2010,0:00,2358,1112,1246,1158,684,474,1468,839,629,3398,1799,1599,1947,786,1161,,,,2419,1189,1230,,,,,,
08/10/2010,0:00,2404,1097,1307,1132,644,488,1311,644,667,3215,1665,1550,1899,803,1096,203,73,130,2217,1209,1008,,,,,,
09/10/2010,0:00,1911,893,1018,685,426,259,1267,680,587,2123,1147,976,1108,499,609,672,354,318,2277,1117,1160,,,,,,
10/10/2010,0:00,1502,692,810,577,350,227,832,453,379,1586,842,744,804,367,437,566,284,282,1802,868,934,,,,,,
11/10/2010,0:00,1905,895,1010,834,492,342,983,537,446,1837,1042,795,1089,462,627,1070,559,511,2352,1180,1172,,,,,,
12/10/2010,0:00,4075,1951,2124,1879,1081,798,2617,1440,1177,4896,2558,2338,2991,1301,1690,685,349,336,2885,1573,1312,,,,,,
13/10/2010,0:00,4068,1889,2179,1921,1093,828,2630,1446,1184,5219,2739,2480,3161,1341,1820,879,450,429,3271,1751,1520,,,,,,
14/10/2010,0:00,3296,1526,1770,1592,909,683,2301,1278,1023,4635,2395,2240,2715,1179,1536,508,258,250,2600,1535,1065,,,,,,
15/10/2010,0:00,789,409,380,409,230,179,481,276,205,1047,551,496,737,327,410,77,39,38,786,413,373,,,,,,
16/10/2010,0:00,1459,635,824,612,372,240,1115,605,510,1931,1029,902,1019,457,562,324,196,128,1804,944,860,,,,,,
17/10/2010,0:00,1619,771,848,789,478,311,1052,535,517,2021,1107,914,1126,480,646,494,294,200,2307,1110,1197,,,,,,
18/10/2010,0:00,3398,1692,1706,1658,923,735,2223,1243,980,4364,2295,2069,2713,1177,1536,512,260,252,2487,1363,1124,,,,,,
19/10/2010,0:00,3783,1859,1924,1745,1011,734,2386,1320,1066,4539,2404,2135,2753,1189,1564,507,255,252,2770,1474,1296,,,,,,
20/10/2010,0:00,3598,1575,2023,1731,1001,730,2542,1361,1181,4596,2413,2183,2808,1155,1653,564,299,265,2937,1584,1353,,,,,,
21/10/2010,0:00,1484,781,703,709,412,297,1003,540,463,2120,1099,1021,1376,556,820,113,57,56,1369,730,639,,,,,,
22/10/2010,0:00,2694,1266,1428,1111,617,494,1789,1013,776,3491,1802,1689,2118,933,1185,364,155,209,2225,1213,1012,,,,,,
23/10/2010,0:00,1794,832,962,651,388,263,1124,612,512,2184,1201,983,1159,473,686,501,264,237,2055,1044,1011,,,,,,
24/10/2010,0:00,948,472,476,395,226,169,617,300,317,1215,658,557,782,327,455,125,67,58,1297,598,699,,,,,,
25/10/2010,0:00,1214,581,633,608,367,241,887,513,374,1986,1061,925,1396,585,811,132,73,59,1300,673,627,,,,,,
26/10/2010,0:00,2355,1017,1338,1193,708,485,1764,997,767,3547,1924,1623,2304,990,1314,427,212,215,2175,1163,1012,,,,,,
27/10/2010,0:00,3327,1558,1769,1469,850,619,2205,1215,990,4814,2519,2295,2727,1175,1552,678,369,309,2841,1599,1242,,,,,,
28/10/2010,0:00,2809,1286,1523,1318,745,573,1952,1117,835,4099,2190,1909,2558,1154,1404,394,208,186,2424,1310,1114,,,,,,
29/10/2010,0:00,2174,1072,1102,897,527,370,1477,791,686,3093,1628,1465,1854,801,1053,233,123,110,1899,1030,869,,,,,,
30/10/2010,0:00,827,387,440,376,233,143,540,287,253,1035,553,482,580,249,331,136,74,62,1203,576,627,,,,,,
31/10/2010,0:00,777,365,412,303,177,126,491,270,221,1017,540,477,536,224,312,145,79,66,1062,527,535,,,,,,
01/11/2010,0:00,2273,1133,1140,1216,691,525,1490,838,652,3121,1663,1458,1952,865,1087,214,104,110,2005,1033,972,,,,,,
02/11/2010,0:00,2748,1316,1432,1362,776,586,1725,966,759,3513,1833,1680,2257,951,1306,224,112,112,2112,1187,925,,,,,,
03/11/2010,0:00,2894,1378,1516,1405,807,598,1804,975,829,3761,1969,1792,2291,985,1306,296,156,140,2239,1212,1027,,,,,,
04/11/2010,0:00,1579,717,862,761,410,351,1033,616,417,2170,1153,1017,1554,702,852,71,38,33,1270,735,535,,,,,,
05/11/2010,0:00,1008,500,508,509,278,231,702,378,324,1492,789,703,1056,429,627,41,18,23,1007,544,463,,,,,,
06/11/2010,0:00,1214,562,652,486,302,184,812,439,373,1512,816,696,813,369,444,211,110,101,1432,736,696,,,,,,
07/11/2010,0:00,1163,576,587,474,273,201,739,371,368,1495,806,689,892,373,519,238,127,111,1415,693,722,,,,,,
08/11/2010,0:00,1601,746,855,809,439,370,964,558,406,2053,1116,937,1467,672,795,96,54,42,1449,774,675,,,,,,
09/11/2010,0:00,2430,1166,1264,1142,660,482,1496,800,696,3084,1598,1486,1943,828,1115,149,71,78,1922,1070,852,,,,,,
10/11/2010,0:00,2658,1288,1370,1273,694,579,1732,949,783,3424,1755,1669,2110,926,1184,242,122,120,2119,1167,952,,,,,,
11/11/2010,0:00,2433,1136,1297,1224,677,547,1597,898,699,3342,1788,1554,1997,879,1118,238,120,118,2380,1193,1187,,,,,,
12/11/2010,0:00,2460,1161,1299,1078,615,463,1751,919,832,3137,1655,1482,1949,845,1104,264,133,131,2197,1201,996,,,,,,
13/11/2010,0:00,1594,711,883,552,358,194,1063,570,493,1842,997,845,941,423,518,381,205,176,1809,898,911,,,,,,
14/11/2010,0:00,1270,587,683,510,305,205,765,398,367,1446,801,645,908,370,538,361,180,181,1509,720,789,,,,,,
15/11/2010,0:00,2192,1063,1129,1145,636,509,1389,754,635,3030,1577,1453,1897,821,1076,145,72,73,2004,1035,969,,,,,,
16/11/2010,0:00,2693,1264,1429,1335,771,564,1682,921,761,3404,1756,1648,2084,899,1185,236,131,105,2269,1216,1053,,,,,,
17/11/2010,0:00,941,451,490,515,296,219,641,339,302,1345,785,560,972,389,583,39,18,21,954,508,446,,,,,,
18/11/2010,0:00,2138,1034,1104,1074,592,482,1433,822,611,2843,1536,1307,1742,757,985,143,67,76,1817,1042,775,,,,,,
19/11/2010,0:00,1803,860,943,770,411,359,1253,713,540,2352,1219,1133,1489,646,843,113,61,52,1685,900,785,,,,,,
20/11/2010,0:00,896,408,488,353,209,144,599,330,269,1112,576,536,597,265,332,67,33,34,980,494,486,,,,,,
21/11/2010,0:00,687,311,376,288,162,126,429,205,224,842,453,389,551,228,323,67,32,35,921,446,475,,,,,,
22/11/2010,0:00,965,477,488,503,290,213,632,361,271,1506,815,691,1017,403,614,44,20,24,895,472,423,,,,,,
23/11/2010,0:00,1179,539,640,487,348,139,799,437,362,1683,891,792,1113,471,642,59,28,31,1141,591,550,,,,,,
24/11/2010,0:00,1580,784,796,733,445,288,1074,576,498,2268,1205,1063,1413,611,802,112,62,50,1462,747,715,,,,,,
25/11/2010,0:00,1392,665,727,606,376,230,896,484,412,2015,1036,979,1285,527,758,73,34,39,1286,704,582,,,,,,
26/11/2010,0:00,557,294,263,201,132,69,408,215,193,841,452,389,479,186,293,6,3,3,639,327,312,,,,,,
27/11/2010,0:00,267,125,142,29,18,11,163,103,60,327,173,154,160,50,110,2,1,1,345,172,173,,,,,,
28/11/2010,0:00,331,162,169,16,12,4,204,100,104,441,243,198,219,78,141,8,4,4,500,235,265,,,,,,
29/11/2010,0:00,1049,473,576,158,105,53,741,440,301,1739,909,830,1109,442,667,94,49,45,1175,571,604,,,,,,
30/11/2010,0:00,962,432,530,312,210,102,628,372,256,1417,762,655,990,443,547,54,26,28,974,540,434,,,,,,
01/12/2010,0:00,511,268,243,229,138,91,388,202,186,834,460,374,623,250,373,28,14,14,548,278,270,,,,,,
02/12/2010,0:00,1072,566,506,454,260,194,632,355,277,1485,811,674,994,400,594,75,33,42,1135,596,539,,,,,,
03/12/2010,0:00,983,514,469,523,303,220,693,386,307,1440,792,648,973,373,600,94,42,52,1111,565,546,,,,,,
04/12/2010,0:00,287,150,137,137,78,59,173,96,77,374,205,169,242,97,145,24,16,8,461,226,235,,,,,,
05/12/2010,0:00,231,128,103,51,28,23,150,62,88,335,180,155,204,74,130,15,7,8,366,174,192,,,,,,
06/12/2010,0:00,312,160,152,118,64,54,216,137,79,580,364,216,340,155,185,11,9,2,396,213,183,,,,,,
07/12/2010,0:00,122,57,65,0,0,0,41,13,28,102,72,30,55,25,30,2,1,1,0,0,0,,,,,,
08/12/2010,0:00,159,67,92,0,0,0,83,31,52,228,48,180,97,55,42,2,2,0,2,2,0,,,,,,
09/12/2010,0:00,152,77,75,0,0,0,140,84,56,335,184,151,126,54,72,0,0,0,5,5,0,,,,,,
10/12/2010,0:00,196,11,185,24,17,7,162,72,90,376,192,184,116,58,58,0,0,0,1,1,0,,,,,,
11/12/2010,0:00,133,23,110,8,5,3,79,32,47,190,110,80,67,27,40,0,0,0,0,0,0,,,,,,
12/12/2010,0:00,67,41,26,1,1,0,29,22,7,98,52,46,40,13,27,0,0,0,1,0,1,,,,,,
13/12/2010,0:00,186,95,91,15,12,3,119,93,26,323,170,153,166,70,96,0,0,0,45,40,5,,,,,,
14/12/2010,0:00,160,107,53,0,0,0,66,7,59,248,48,200,92,38,54,0,0,0,2,1,1,,,,,,
15/12/2010,0:00,157,102,55,1,1,0,105,47,58,271,66,205,121,54,67,0,0,0,68,25,43,,,,,,
16/12/2010,0:00,138,76,62,0,0,0,63,42,21,287,157,130,99,49,50,0,0,0,99,70,29,,,,,,
17/12/2010,0:00,125,58,67,8,5,3,143,57,86,317,166,151,82,38,44,0,0,0,88,58,30,,,,,,
18/12/2010,0:00,90,57,33,1,1,0,61,15,46,123,69,54,25,13,12,0,0,0,29,17,12,,,,,,
19/12/2010,0:00,95,54,41,0,0,0,46,24,22,102,68,34,24,10,14,0,0,0,32,20,12,,,,,,
20/12/2010,0:00,198,110,88,14,12,2,122,65,57,335,185,150,98,48,50,0,0,0,89,58,31,,,,,,
21/12/2010,0:00,259,142,117,8,5,3,157,83,74,348,203,145,85,43,42,0,0,0,99,63,36,,,,,,
