week,long-term counter,estimate,actual,error
22,CSC2014,1329.98220196,1556.23113208,-226.248930118
22,Totem_Laurier2014,1193.29558246,1556.23113208,-362.935549618
22,Parc2014,1373.56469412,1556.23113208,-182.666437951
22,Maisonneuve_12014,1279.59708265,1556.23113208,-276.634049423
23,Maisonneuve_22014,927.070956011,1556.23113208,-629.160176065
23,Berri12014,861.820166155,1556.23113208,-694.410965921
23,CSC2014,905.166056969,1556.23113208,-651.065075106
23,Totem_Laurier2014,853.566972723,1556.23113208,-702.664159353
23,Parc2014,973.343897045,1556.23113208,-582.88723503
23,Maisonneuve_12014,968.4197558,1556.23113208,-587.811376275
24,Maisonneuve_22014,1428.03863568,1556.23113208,-128.192496392
24,Berri12014,1280.01499854,1556.23113208,-276.216133533
24,CSC2014,1410.28401473,1556.23113208,-145.947117341
24,Totem_Laurier2014,1280.39315303,1556.23113208,-275.837979045
24,Parc2014,1546.56014883,1556.23113208,-9.67098324522
24,Maisonneuve_12014,1418.56968377,1556.23113208,-137.661448301
25,Maisonneuve_22014,2031.4428125,1556.23113208,475.211680428
25,Berri12014,1838.69797734,1556.23113208,282.466845265
25,CSC2014,2189.86857993,1556.23113208,633.637447859
25,Totem_Laurier2014,1971.62500351,1556.23113208,415.393871436
25,Parc2014,2180.17982763,1556.23113208,623.948695554
25,Maisonneuve_12014,2007.77891371,1556.23113208,451.54778163
26,Maisonneuve_22014,2004.39607778,1556.23113208,448.164945703
26,Berri12014,1879.68943253,1556.23113208,323.458300456
26,CSC2014,2283.89849502,1556.23113208,727.66736294
26,Totem_Laurier2014,1801.56404616,1556.23113208,245.332914083
26,Parc2014,2288.16919395,1556.23113208,731.938061879
26,Maisonneuve_12014,1907.35581861,1556.23113208,351.124686538
27,Maisonneuve_22014,2111.71082793,1556.23113208,555.479695855
27,Berri12014,1882.60938481,1556.23113208,326.378252738
27,CSC2014,2502.41472172,1556.23113208,946.18358964
27,Totem_Laurier2014,1953.17871993,1556.23113208,396.947587856
27,Parc2014,2559.91865816,1556.23113208,1003.68752608
27,Maisonneuve_12014,1911.85858584,1556.23113208,355.627453767
28,Maisonneuve_22014,1814.7948643,1556.23113208,258.563732228
28,Berri12014,1693.29552808,1556.23113208,137.064396008
28,CSC2014,2171.64551433,1556.23113208,615.414382258
28,Totem_Laurier2014,1690.85225246,1556.23113208,134.621120383
28,Parc2014,2213.56068849,1556.23113208,657.329556418
28,Maisonneuve_12014,1820.44978575,1556.23113208,264.218653678
29,Maisonneuve_22014,2158.57607988,1556.23113208,602.344947801
29,Berri12014,2054.00089446,1556.23113208,497.769762387
29,CSC2014,2568.32345672,1556.23113208,1012.09232464
29,Totem_Laurier2014,2072.29235927,1556.23113208,516.061227195
29,Parc2014,2632.35731914,1556.23113208,1076.12618707
29,Maisonneuve_12014,2169.0296205,1556.23113208,612.798488421
30,Maisonneuve_22014,1902.64686131,1556.23113208,346.415729239
30,Berri12014,1965.89294701,1556.23113208,409.661814937
30,CSC2014,2211.18242055,1556.23113208,654.951288474
30,Totem_Laurier2014,1886.39019542,1556.23113208,330.159063347
30,Parc2014,2338.3089272,1556.23113208,782.077795122
30,Maisonneuve_12014,2001.4666957,1556.23113208,445.235563627
31,Maisonneuve_22014,2317.55810363,1556.23113208,761.326971559
31,Berri12014,2285.74446388,1556.23113208,729.513331807
31,CSC2014,2615.01067535,1556.23113208,1058.77954327
31,Totem_Laurier2014,2269.16580002,1556.23113208,712.934667941
31,Parc2014,2816.13397524,1556.23113208,1259.90284317
31,Maisonneuve_12014,2639.98615058,1556.23113208,1083.7550185
32,Maisonneuve_22014,2272.44171863,1556.23113208,716.21058655
32,Berri12014,2178.01548736,1556.23113208,621.784355287
32,CSC2014,2539.03167128,1556.23113208,982.800539205
32,Totem_Laurier2014,2063.46029803,1556.23113208,507.229165958
32,Parc2014,2632.12954053,1556.23113208,1075.89840845
32,Maisonneuve_12014,2423.87369821,1556.23113208,867.642566138
33,Maisonneuve_22014,1522.68304041,1556.23113208,-33.5480916693
33,Berri12014,1514.80828594,1556.23113208,-41.4228461329
33,CSC2014,1682.53701782,1556.23113208,126.305885746
33,Totem_Laurier2014,1333.05336668,1556.23113208,-223.1777654
33,Parc2014,1629.35346045,1556.23113208,73.1223283699
33,Maisonneuve_12014,1488.01993466,1556.23113208,-68.2111974174
34,Maisonneuve_22014,2293.21037987,1556.23113208,736.979247794
34,Berri12014,2099.28513548,1556.23113208,543.054003406
34,CSC2014,2331.79612867,1556.23113208,775.564996594
34,Totem_Laurier2014,2059.32806017,1556.23113208,503.096928093
34,Parc2014,2328.25606843,1556.23113208,772.024936351
34,Maisonneuve_12014,2211.75627188,1556.23113208,655.525139801
35,Maisonneuve_22014,1860.10656367,1556.23113208,303.875431592
35,Berri12014,1844.26940832,1556.23113208,288.038276247
35,CSC2014,1994.78761,1556.23113208,438.556477925
35,Totem_Laurier2014,1612.51357514,1556.23113208,56.2824430616
35,Parc2014,1891.40116725,1556.23113208,335.170035174
35,Maisonneuve_12014,1836.10818929,1556.23113208,279.877057212
36,Maisonneuve_22014,2220.50995028,1556.23113208,664.278818203
36,Berri12014,2053.47260141,1556.23113208,497.241469339
36,CSC2014,2044.01367119,1556.23113208,487.782539114
36,Totem_Laurier2014,1826.59887187,1556.23113208,270.367739798
36,Parc2014,2138.96902255,1556.23113208,582.737890476
36,Maisonneuve_12014,2292.71363704,1556.23113208,736.482504962
37,Maisonneuve_22014,1246.13094609,1556.23113208,-310.100185986
37,Berri12014,1343.78066967,1556.23113208,-212.450462408
37,CSC2014,1041.92751563,1556.23113208,-514.303616443
37,Totem_Laurier2014,1112.94200652,1556.23113208,-443.289125552
37,Parc2014,1083.99087234,1556.23113208,-472.240259731
37,Maisonneuve_12014,1297.3380097,1556.23113208,-258.893122372
38,Maisonneuve_22014,1050.09140843,1556.23113208,-506.139723642
38,Berri12014,1146.72924111,1556.23113208,-409.501890966
38,CSC2014,977.179643674,1556.23113208,-579.051488402
38,Totem_Laurier2014,947.466555461,1556.23113208,-608.764576615
