week,long-term counter,estimate,actual,error
21,Totem_Laurier2014,2718.0380678,2408.63679245,309.40127535
21,Parc2014,2705.2909482,2408.63679245,296.65415575
22,Maisonneuve_22014,2627.04727724,2408.63679245,218.410484792
22,Berri12014,2408.18465865,2408.63679245,-0.45213379923
22,CSC2014,2551.88136391,2408.63679245,143.244571453
22,PierDup2014,3742.35892847,2408.63679245,1333.72213602
22,Totem_Laurier2014,2335.48694504,2408.63679245,-73.1498474175
22,Parc2014,2578.16686476,2408.63679245,169.530072312
23,Maisonneuve_22014,2364.19688085,2408.63679245,-44.439911602
23,Berri12014,2296.15743752,2408.63679245,-112.479354932
23,CSC2014,2325.50169268,2408.63679245,-83.1350997703
23,PierDup2014,5079.35517446,2408.63679245,2670.71838201
23,Totem_Laurier2014,2302.19981315,2408.63679245,-106.436979303
23,Parc2014,2453.71589216,2408.63679245,45.0790997049
24,Maisonneuve_22014,2388.42951875,2408.63679245,-20.2072737009
24,Berri12014,2323.3499861,2408.63679245,-85.2868063503
24,CSC2014,2390.0690356,2408.63679245,-18.567756852
24,PierDup2014,4683.84461892,2408.63679245,2275.20782647
24,Totem_Laurier2014,2171.13845121,2408.63679245,-237.498341243
24,Parc2014,2480.09673167,2408.63679245,71.4599392188
25,Maisonneuve_22014,2511.34564353,2408.63679245,102.708851079
25,Berri12014,2328.9070199,2408.63679245,-79.7297725519
25,CSC2014,2646.77974812,2408.63679245,238.142955662
25,PierDup2014,2274.99452813,2408.63679245,-133.642264327
25,Totem_Laurier2014,2513.99539027,2408.63679245,105.358597814
25,Parc2014,2662.34674103,2408.63679245,253.709948574
26,Maisonneuve_22014,2504.82585962,2408.63679245,96.1890671702
26,Berri12014,2395.55571862,2408.63679245,-13.0810738334
26,CSC2014,2805.23476672,2408.63679245,396.597974263
26,PierDup2014,2227.22179886,2408.63679245,-181.414993597
26,Totem_Laurier2014,2336.24744555,2408.63679245,-72.389346906
26,Parc2014,2811.79932726,2408.63679245,403.16253481
27,Maisonneuve_22014,2605.18583554,2408.63679245,196.549043091
27,Berri12014,2433.81453764,2408.63679245,25.1777451921
27,CSC2014,3102.83410479,2408.63679245,694.197312338
27,PierDup2014,2297.74260093,2408.63679245,-110.894191522
27,Totem_Laurier2014,2491.43610111,2408.63679245,82.7993086613
27,Parc2014,3104.08515683,2408.63679245,695.448364377
28,Maisonneuve_22014,2342.29356173,2408.63679245,-66.3432307202
28,Berri12014,2292.92918035,2408.63679245,-115.707612103
28,CSC2014,2723.4005692,2408.63679245,314.763776749
28,PierDup2014,2496.43897206,2408.63679245,87.8021796079
28,Totem_Laurier2014,2237.06479854,2408.63679245,-171.571993914
28,Parc2014,2751.92809048,2408.63679245,343.291298031
29,Maisonneuve_22014,2384.18087749,2408.63679245,-24.4559149631
29,Berri12014,2316.21190609,2408.63679245,-92.4248863675
29,CSC2014,2776.14869855,2408.63679245,367.511906093
29,PierDup2014,2085.38510726,2408.63679245,-323.251685189
29,Totem_Laurier2014,2349.5169402,2408.63679245,-59.1198522543
29,Parc2014,2807.87270822,2408.63679245,399.235915767
30,Maisonneuve_22014,2296.91895959,2408.63679245,-111.717832863
30,Berri12014,2398.2263811,2408.63679245,-10.4104113549
30,CSC2014,2701.2263849,2408.63679245,292.58959245
30,PierDup2014,2065.37678687,2408.63679245,-343.260005587
30,Totem_Laurier2014,2318.36968792,2408.63679245,-90.2671045372
30,Parc2014,2772.77937911,2408.63679245,364.142586654
31,Maisonneuve_22014,2085.28674859,2408.63679245,-323.350043863
31,Berri12014,2141.91916085,2408.63679245,-266.717631598
31,CSC2014,2277.25739173,2408.63679245,-131.379400727
31,PierDup2014,1854.79026565,2408.63679245,-553.846526804
31,Totem_Laurier2014,2103.1610778,2408.63679245,-305.475714653
31,Parc2014,2420.29723852,2408.63679245,11.6604460687
32,Maisonneuve_22014,2239.43053517,2408.63679245,-169.20625728
32,Berri12014,2256.24391061,2408.63679245,-152.392881839
32,CSC2014,2526.63587856,2408.63679245,117.99908611
32,PierDup2014,1861.49472616,2408.63679245,-547.142066294
32,Totem_Laurier2014,2162.66309102,2408.63679245,-245.973701431
32,Parc2014,2557.123522,2408.63679245,148.486729545
33,Maisonneuve_22014,2387.7500713,2408.63679245,-20.8867211544
33,Berri12014,2478.4313505,2408.63679245,69.7945580437
33,CSC2014,2674.24422359,2408.63679245,265.607431136
33,PierDup2014,3029.94907349,2408.63679245,621.312281042
33,Totem_Laurier2014,2146.8809614,2408.63679245,-261.755831053
33,Parc2014,2522.73756383,2408.63679245,114.100771382
34,Maisonneuve_22014,2463.21555657,2408.63679245,54.5787641143
34,Berri12014,2370.34356011,2408.63679245,-38.2932323388
34,CSC2014,2515.70109804,2408.63679245,107.064305583
34,PierDup2014,2119.75939398,2408.63679245,-288.87739847
34,Totem_Laurier2014,2337.28035407,2408.63679245,-71.3564383814
34,Parc2014,2482.38535018,2408.63679245,73.7485577253
35,Maisonneuve_22014,2452.60460363,2408.63679245,43.9678111758
35,Berri12014,2484.33077002,2408.63679245,75.6939775657
35,CSC2014,2554.13187907,2408.63679245,145.495086614
35,PierDup2014,2374.02670285,2408.63679245,-34.6100895978
35,Totem_Laurier2014,2219.11108291,2408.63679245,-189.525709545
35,Parc2014,2420.47794595,2408.63679245,11.8411535001
36,Maisonneuve_22014,2407.55380228,2408.63679245,-1.08299016945
36,Berri12014,2407.80213267,2408.63679245,-0.834659784286
36,CSC2014,2231.6343068,2408.63679245,-177.002485649
36,PierDup2014,2542.36377043,2408.63679245,133.726977976
36,Totem_Laurier2014,2200.29721983,2408.63679245,-208.339572623
36,Parc2014,2316.73208925,2408.63679245,-91.9047032038
37,Maisonneuve_22014,2366.52819418,2408.63679245,-42.1085982758
37,Berri12014,2559.02542572,2408.63679245,150.388633272
37,CSC2014,1992.73607773,2408.63679245,-415.900714727
37,PierDup2014,3745.89233218,2408.63679245,1337.25553973
37,Totem_Laurier2014,2218.96344328,2408.63679245,-189.673349178
37,Parc2014,2104.69996392,2408.63679245,-303.936828528
38,Maisonneuve_22014,2439.0517581,2408.63679245,30.4149656499
38,Berri12014,2673.3850238,2408.63679245,264.748231344
38,CSC2014,2224.56238955,2408.63679245,-184.074402906
38,PierDup2014,3923.00521501,2408.63679245,1514.36842255
38,Totem_Laurier2014,2305.82645472,2408.63679245,-102.810337733
38,Parc2014,2220.94922213,2408.63679245,-187.687570325
39,Maisonneuve_22014,2407.5922168,2408.63679245,-1.04457565003
39,Berri12014,2484.26019685,2408.63679245,75.6234043988
39,CSC2014,2229.9840683,2408.63679245,-178.652724156
39,PierDup2014,3742.71306651,2408.63679245,1334.07627406
39,Totem_Laurier2014,2327.20483859,2408.63679245,-81.4319538642
39,Parc2014,2164.32259706,2408.63679245,-244.314195395
40,Maisonneuve_22014,2373.7833452,2408.63679245,-34.8534472505
40,Berri12014,2663.60021413,2408.63679245,254.963421678
40,CSC2014,2123.49254789,2408.63679245,-285.144244558
40,PierDup2014,4473.49695481,2408.63679245,2064.86016236
40,Totem_Laurier2014,2132.38407176,2408.63679245,-276.252720697
40,Parc2014,2107.65674439,2408.63679245,-300.980048067
41,Maisonneuve_22014,2369.16475232,2408.63679245,-39.4720401334
41,Berri12014,2621.64859353,2408.63679245,213.011801078
41,CSC2014,2231.74359784,2408.63679245,-176.893194611
41,PierDup2014,5879.80070452,2408.63679245,3471.16391207
41,Totem_Laurier2014,2205.10195107,2408.63679245,-203.534841382
41,Parc2014,2158.62899386,2408.63679245,-250.007798592
42,Maisonneuve_22014,2337.72536311,2408.63679245,-70.9114293429
42,Berri12014,2567.86614442,2408.63679245,159.229351965
42,CSC2014,2349.22321437,2408.63679245,-59.4135780842
42,PierDup2014,5064.86754915,2408.63679245,2656.2307567
42,Totem_Laurier2014,1995.24633794,2408.63679245,-413.390454509
42,Parc2014,2036.01889402,2408.63679245,-372.617898428
43,Maisonneuve_22014,2311.79505414,2408.63679245,-96.8417383098
43,Berri12014,2658.96515926,2408.63679245,250.328366809
43,CSC2014,2410.14077669,2408.63679245,1.50398423832
43,PierDup2014,6043.24734432,2408.63679245,3634.61055187
43,Totem_Laurier2014,1959.28266126,2408.63679245,-449.354131197
43,Parc2014,1896.00048548,2408.63679245,-512.63630697
44,Maisonneuve_22014,2503.98120301,2408.63679245,95.3444105578
44,Berri12014,2149.34432333,2408.63679245,-259.29246912
44,CSC2014,1679.33415062,2408.63679245,-729.30264183
44,PierDup2014,6475.52425568,2408.63679245,4066.88746323
44,Totem_Laurier2014,1800.01517548,2408.63679245,-608.621616977
44,Parc2014,1562.23811859,2408.63679245,-846.398673863
