week,long-term counter,estimate,actual,error
33,PierDup2014,1956.54120666,1649.05660377,307.484602886
33,Totem_Laurier2014,1342.53541627,1649.05660377,-306.521187505
33,Parc2014,1550.14868776,1649.05660377,-98.9079160148
33,Maisonneuve_12014,1503.9611115,1649.05660377,-145.095492277
34,Maisonneuve_22014,1616.32885051,1649.05660377,-32.7277532636
34,Berri12014,1559.71557623,1649.05660377,-89.341027545
34,PierDup2014,1410.12914195,1649.05660377,-238.927461827
34,Totem_Laurier2014,1537.29861077,1649.05660377,-111.757993007
34,Parc2014,1626.7295031,1649.05660377,-22.3271006778
34,Maisonneuve_12014,1584.3702579,1649.05660377,-64.6863458703
35,Maisonneuve_22014,1594.97317446,1649.05660377,-54.0834293126
35,Berri12014,1619.53146505,1649.05660377,-29.5251387248
35,PierDup2014,1560.75089222,1649.05660377,-88.3057115584
35,Totem_Laurier2014,1453.22903267,1649.05660377,-195.827571106
35,Parc2014,1566.59339463,1649.05660377,-82.4632091463
35,Maisonneuve_12014,1563.08702041,1649.05660377,-85.969583359
36,Maisonneuve_22014,1789.13081132,1649.05660377,140.074207549
36,Berri12014,1777.99578363,1649.05660377,128.939179861
36,PierDup2014,1853.79673289,1649.05660377,204.740129112
36,Totem_Laurier2014,1635.2469327,1649.05660377,-13.8096710734
36,Parc2014,1715.85612911,1649.05660377,66.7995253404
36,Maisonneuve_12014,1791.65087895,1649.05660377,142.59427518
37,Maisonneuve_22014,1961.00367659,1649.05660377,311.947072821
37,Berri12014,2121.40405024,1649.05660377,472.347446465
37,PierDup2014,3050.78312864,1649.05660377,1401.72652486
37,Totem_Laurier2014,1826.1600924,1649.05660377,177.103488627
37,Parc2014,1739.51677961,1649.05660377,90.4601758316
37,Maisonneuve_12014,2003.94264834,1649.05660377,354.886044565
38,Maisonneuve_22014,1827.06853905,1649.05660377,178.011935278
38,Berri12014,2003.96057074,1649.05660377,354.903966963
38,PierDup2014,3004.27374629,1649.05660377,1355.21714252
38,Totem_Laurier2014,1767.71223948,1649.05660377,118.655635705
38,Parc2014,1653.29467346,1649.05660377,4.23806968903
38,Maisonneuve_12014,1811.74198776,1649.05660377,162.685383986
39,Maisonneuve_22014,1802.36010547,1649.05660377,153.303501699
39,Berri12014,1876.36529826,1649.05660377,227.308694483
39,PierDup2014,2932.64409776,1649.05660377,1283.58749398
39,Totem_Laurier2014,1752.54075007,1649.05660377,103.484146293
39,Parc2014,1603.50253537,1649.05660377,-45.5540684076
39,Maisonneuve_12014,1809.61572272,1649.05660377,160.559118944
40,Maisonneuve_22014,1863.65426904,1649.05660377,214.597665262
40,Berri12014,2086.79101821,1649.05660377,437.734414438
40,PierDup2014,3481.13536088,1649.05660377,1832.07875711
40,Totem_Laurier2014,1697.71445634,1649.05660377,48.6578525644
40,Parc2014,1648.47501296,1649.05660377,-0.58159081131
40,Maisonneuve_12014,1887.21820334,1649.05660377,238.161599564
41,Maisonneuve_22014,1769.25562393,1649.05660377,120.199020159
41,Berri12014,1966.40985299,1649.05660377,317.353249218
41,PierDup2014,4583.59724573,1649.05660377,2934.54064195
41,Totem_Laurier2014,1669.60023285,1649.05660377,20.5436290809
41,Parc2014,1585.48013106,1649.05660377,-63.5764727165
41,Maisonneuve_12014,1804.14455232,1649.05660377,155.087948551
42,Maisonneuve_22014,1672.31743394,1649.05660377,23.2608301689
42,Berri12014,1819.71454036,1649.05660377,170.657936582
42,PierDup2014,3585.60498545,1649.05660377,1936.54838168
42,Totem_Laurier2014,1428.06191147,1649.05660377,-220.994692306
42,Parc2014,1448.100944,1649.05660377,-200.955659775
42,Maisonneuve_12014,1720.75356954,1649.05660377,71.6969657684
43,Maisonneuve_22014,1586.53688126,1649.05660377,-62.5197225176
43,Berri12014,1823.21528804,1649.05660377,174.15868427
43,PierDup2014,4147.69711214,1649.05660377,2498.64050837
43,Totem_Laurier2014,1344.10760602,1649.05660377,-304.948997749
43,Parc2014,1300.48930892,1649.05660377,-348.567294856
43,Maisonneuve_12014,1654.5523882,1649.05660377,5.49578442236
44,Maisonneuve_22014,2748.15618292,1649.05660377,1099.09957914
44,Berri12014,2065.45064592,1649.05660377,416.394042147
44,PierDup2014,6752.97155062,1649.05660377,5103.91494684
44,Totem_Laurier2014,1675.66221143,1649.05660377,26.6056076581
44,Parc2014,1505.18362889,1649.05660377,-143.872974879
44,Maisonneuve_12014,2618.05650964,1649.05660377,968.999905869
